Time,Channel B
(ms),(V)

2.02267761,-0.00137333
2.02523761,-0.00137333
2.02779761,0.04272591
2.03035761,-0.00137333
2.03291761,-0.00137333
2.03547761,-0.00137333
2.03803761,-0.00137333
2.04059761,-0.00137333
2.04315761,-0.00137333
2.04571761,-0.00137333
2.04827761,-0.00137333
2.05083761,-0.00137333
2.05339761,-0.00137333
2.05595761,-0.00137333
2.05851761,-0.00137333
2.06107761,-0.00137333
2.06363761,-0.00137333
2.06619761,0.04272591
2.06875761,-0.00137333
2.07131761,-0.00137333
2.07387761,-0.00137333
2.07643761,-0.00137333
2.07899761,-0.00137333
2.08155761,-0.00137333
2.08411761,-0.00137333
2.08667761,0.04272591
2.08923761,-0.00137333
2.09179761,-0.00137333
2.09435761,-0.00137333
2.09691761,-0.00137333
2.09947761,-0.00137333
2.10203761,-0.00137333
2.10459761,-0.00137333
2.10715761,-0.00137333
2.10971761,-0.00137333
2.11227761,-0.00137333
2.11483761,-0.00137333
2.11739761,-0.00137333
2.11995761,-0.00137333
2.12251761,-0.00137333
2.12507761,-0.00137333
2.12763761,-0.00137333
2.13019761,-0.00137333
2.13275761,-0.00137333
2.13531761,-0.00137333
2.13787761,-0.00137333
2.14043761,-0.00137333
2.14299761,-0.00137333
2.14555761,-0.00137333
2.14811761,-0.00137333
2.15067761,-0.00137333
2.15323761,-0.00137333
2.15579761,-0.00137333
2.15835761,-0.00137333
2.16091761,-0.00137333
2.16347761,-0.00137333
2.16603761,-0.00137333
2.16859761,-0.00137333
2.17115761,-0.00137333
2.17371761,-0.00137333
2.17627761,-0.00137333
2.17883761,-0.00137333
2.18139761,-0.00137333
2.18395761,-0.00137333
2.18651761,0.04272591
2.18907761,-0.00137333
2.19163761,-0.00137333
2.19419761,-0.00137333
2.19675761,-0.00137333
2.19931761,-0.00137333
2.20187761,-0.00137333
2.20443761,-0.00137333
2.20699761,-0.00137333
2.20955761,-0.00137333
2.21211761,-0.00137333
2.21467761,-0.00137333
2.21723761,-0.00137333
2.21979761,-0.00137333
2.22235761,-0.00137333
2.22491761,-0.00137333
2.22747761,-0.00137333
2.23003761,-0.00137333
2.23259761,-0.00137333
2.23515761,-0.00137333
2.23771761,-0.00137333
2.24027761,-0.00137333
2.24283761,-0.00137333
2.24539761,-0.00137333
2.24795761,-0.00137333
2.25051761,-0.00137333
2.25307761,-0.00137333
2.25563761,-0.00137333
2.25819761,-0.00137333
2.26075761,-0.00137333
2.26331761,-0.00137333
2.26587761,-0.00137333
2.26843761,-0.00137333
2.27099761,-0.00137333
2.27355761,-0.00137333
2.27611761,-0.00137333
2.27867761,-0.00137333
2.28123761,-0.00137333
2.28379761,-0.00137333
2.28635761,-0.00137333
2.28891761,-0.00137333
2.29147761,-0.00137333
2.29403761,-0.00137333
2.29659761,-0.00137333
2.29915761,-0.00137333
2.30171761,-0.00137333
2.30427761,-0.00137333
2.30683761,-0.00137333
2.30939761,-0.00137333
2.31195761,-0.00137333
2.31451761,-0.00137333
2.31707761,-0.00137333
2.31963761,-0.00137333
2.32219761,-0.00137333
2.32475761,-0.00137333
2.32731761,-0.00137333
2.32987761,-0.00137333
2.33243761,-0.00137333
2.33499761,0.04272591
2.33755761,-0.00137333
2.34011761,-0.00137333
2.34267761,-0.00137333
2.34523761,0.04272591
2.34779761,-0.00137333
2.35035761,-0.00137333
2.35291761,-0.00137333
2.35547761,-0.00137333
2.35803761,-0.00137333
2.36059761,-0.00137333
2.36315761,0.04272591
2.36571761,-0.00137333
2.36827761,-0.00137333
2.37083761,-0.00137333
2.37339761,-0.00137333
2.37595761,-0.00137333
2.37851761,-0.00137333
2.38107761,-0.00137333
2.38363761,-0.00137333
2.38619761,-0.00137333
2.38875761,-0.00137333
2.39131761,-0.00137333
2.39387761,-0.00137333
2.39643761,-0.00137333
2.39899761,-0.00137333
2.40155761,-0.00137333
2.40411761,-0.00137333
2.40667761,-0.00137333
2.40923761,-0.00137333
2.41179761,-0.00137333
2.41435761,-0.00137333
2.41691761,-0.00137333
2.41947761,-0.00137333
2.42203761,-0.00137333
2.42459761,-0.00137333
2.42715761,0.04272591
2.42971761,-0.00137333
2.43227761,-0.00137333
2.43483761,-0.00137333
2.43739761,-0.00137333
2.43995761,-0.00137333
2.44251761,-0.00137333
2.44507761,-0.00137333
2.44763761,-0.00137333
2.45019761,0.04272591
2.45275761,-0.00137333
2.45531761,-0.00137333
2.45787761,-0.00137333
2.46043761,-0.00137333
2.46299761,-0.00137333
2.46555761,-0.00137333
2.46811761,-0.00137333
2.47067761,-0.00137333
2.47323761,-0.00137333
2.47579761,-0.00137333
2.47835761,-0.00137333
2.48091761,-0.00137333
2.48347761,-0.00137333
2.48603761,-0.00137333
2.48859761,-0.00137333
2.49115761,-0.00137333
2.49371761,-0.00137333
2.49627761,-0.00137333
2.49883761,-0.00137333
2.50139761,-0.00137333
2.50395761,-0.00137333
2.50651761,-0.00137333
2.50907761,-0.00137333
2.51163761,-0.00137333
2.51419761,-0.00137333
2.51675761,-0.00137333
2.51931761,-0.00137333
2.52187761,-0.00137333
2.52443761,-0.00137333
2.52699761,-0.00137333
2.52955761,-0.00137333
2.53211761,-0.00137333
2.53467761,-0.00137333
2.53723761,-0.00137333
2.53979761,-0.00137333
2.54235761,-0.00137333
2.54491761,-0.00137333
2.54747761,-0.00137333
2.55003761,-0.00137333
2.55259761,-0.00137333
2.55515761,-0.00137333
2.55771761,-0.00137333
2.56027761,-0.00137333
2.56283761,-0.00137333
2.56539761,-0.00137333
2.56795761,-0.00137333
2.57051761,-0.00137333
2.57307761,-0.00137333
2.57563761,-0.00137333
2.57819761,-0.00137333
2.58075761,0.04272591
2.58331761,-0.00137333
2.58587761,-0.00137333
2.58843761,-0.00137333
2.59099761,-0.00137333
2.59355761,-0.00137333
2.59611761,-0.00137333
2.59867761,-0.00137333
2.60123761,0.04272591
2.60379761,-0.00137333
2.60635761,-0.00137333
2.60891761,-0.00137333
2.61147761,-0.04531999
2.61403761,-0.00137333
2.61659761,-0.00137333
2.61915761,-0.00137333
2.62171761,-0.00137333
2.62427761,-0.00137333
2.62683761,0.04272591
2.62939761,-0.00137333
2.63195761,-0.00137333
2.63451761,-0.00137333
2.63707761,-0.00137333
2.63963761,-0.00137333
2.64219761,-0.00137333
2.64475761,-0.00137333
2.64731761,-0.00137333
2.64987761,-0.00137333
2.65243761,0.04272591
2.65499761,0.04272591
2.65755761,-0.00137333
2.66011761,-0.00137333
2.66267761,-0.00137333
2.66523761,-0.00137333
2.66779761,-0.00137333
2.67035761,-0.00137333
2.67291761,-0.00137333
2.67547761,-0.00137333
2.67803761,-0.00137333
2.68059761,-0.00137333
2.68315761,-0.00137333
2.68571761,-0.00137333
2.68827761,-0.00137333
2.69083761,-0.00137333
2.69339761,-0.00137333
2.69595761,0.04272591
2.69851761,-0.00137333
2.70107761,-0.00137333
2.70363761,-0.00137333
2.70619761,-0.00137333
2.70875761,-0.00137333
2.71131761,0.04272591
2.71387761,-0.00137333
2.71643761,0.04272591
2.71899761,-0.00137333
2.72155761,-0.00137333
2.72411761,-0.00137333
2.72667761,-0.00137333
2.72923761,-0.00137333
2.73179761,-0.00137333
2.73435761,-0.00137333
2.73691761,-0.00137333
2.73947761,-0.00137333
2.74203761,-0.00137333
2.74459761,-0.00137333
2.74715761,-0.00137333
2.74971761,-0.00137333
2.75227761,-0.00137333
2.75483761,-0.00137333
2.75739761,-0.00137333
2.75995761,-0.00137333
2.76251761,-0.00137333
2.76507761,-0.00137333
2.76763761,-0.00137333
2.77019761,-0.00137333
2.77275761,-0.00137333
2.77531761,-0.00137333
2.77787761,-0.00137333
2.78043761,-0.00137333
2.78299761,-0.00137333
2.78555761,0.04272591
2.78811761,-0.00137333
2.79067761,-0.00137333
2.79323761,-0.00137333
2.79579761,-0.00137333
2.79835761,0.04272591
2.80091761,-0.00137333
2.80347761,-0.00137333
2.80603761,-0.00137333
2.80859761,-0.00137333
2.81115761,-0.00137333
2.81371761,-0.00137333
2.81627761,-0.00137333
2.81883761,-0.00137333
2.82139761,-0.00137333
2.82395761,-0.00137333
2.82651761,-0.00137333
2.82907761,-0.00137333
2.83163761,-0.00137333
2.83419761,-0.00137333
2.83675761,-0.00137333
2.83931761,0.04272591
2.84187761,-0.00137333
2.84443761,-0.00137333
2.84699761,-0.00137333
2.84955761,-0.00137333
2.85211761,-0.00137333
2.85467761,-0.00137333
2.85723761,-0.00137333
2.85979761,-0.00137333
2.86235761,-0.00137333
2.86491761,-0.00137333
2.86747761,-0.00137333
2.87003761,-0.00137333
