t (s)	U1(V)
"0,057500"	"0,611779"
"0,057600"	"0,606550"
"0,057700"	"0,606550"
"0,057800"	"0,606550"
"0,057900"	"0,606550"
"0,058000"	"0,606550"
"0,058100"	"0,606550"
"0,058200"	"0,606550"
"0,058300"	"0,611779"
"0,058400"	"0,606550"
"0,058500"	"0,606550"
"0,058600"	"0,606550"
"0,058700"	"0,606550"
"0,058800"	"0,606550"
"0,058900"	"0,606550"
"0,059000"	"0,601321"
"0,059100"	"0,606550"
"0,059200"	"0,606550"
"0,059300"	"0,601321"
"0,059400"	"0,601321"
"0,059500"	"0,601321"
"0,059600"	"0,601321"
"0,059700"	"0,601321"
"0,059800"	"0,601321"
"0,059900"	"0,601321"
"0,060000"	"0,601321"
"0,060100"	"0,601321"
"0,060200"	"0,596092"
"0,060300"	"0,596092"
"0,060400"	"0,596092"
"0,060500"	"0,596092"
"0,060600"	"0,596092"
"0,060700"	"0,596092"
"0,060800"	"0,596092"
"0,060900"	"0,596092"
"0,061000"	"0,596092"
"0,061100"	"0,596092"
"0,061200"	"0,590864"
"0,061300"	"0,590864"
"0,061400"	"0,590864"
"0,061500"	"0,596092"
"0,061600"	"0,596092"
"0,061700"	"0,590864"
"0,061800"	"0,596092"
"0,061900"	"0,590864"
"0,062000"	"0,590864"
"0,062100"	"0,585635"
"0,062200"	"0,590864"
"0,062300"	"0,585635"
"0,062400"	"0,590864"
"0,062500"	"0,590864"
"0,062600"	"0,590864"
"0,062700"	"0,590864"
"0,062800"	"0,585635"
"0,062900"	"0,585635"
"0,063000"	"0,585635"
"0,063100"	"0,585635"
"0,063200"	"0,585635"
"0,063300"	"0,585635"
"0,063400"	"0,585635"
"0,063500"	"0,585635"
"0,063600"	"0,585635"
"0,063700"	"0,585635"
"0,063800"	"0,580406"
"0,063900"	"0,585635"
"0,064000"	"0,580406"
"0,064100"	"0,580406"
"0,064200"	"0,585635"
"0,064300"	"0,580406"
"0,064400"	"0,585635"
"0,064500"	"0,580406"
"0,064600"	"0,580406"
"0,064700"	"0,580406"
"0,064800"	"0,580406"
"0,064900"	"0,580406"
"0,065000"	"0,575177"
"0,065100"	"0,575177"
"0,065200"	"0,580406"
"0,065300"	"0,580406"
"0,065400"	"0,575177"
"0,065500"	"0,575177"
"0,065600"	"0,575177"
"0,065700"	"0,575177"
"0,065800"	"0,575177"
"0,065900"	"0,575177"
"0,066000"	"0,575177"
"0,066100"	"0,575177"
"0,066200"	"0,575177"
"0,066300"	"0,575177"
"0,066400"	"0,569948"
"0,066500"	"0,569948"
"0,066600"	"0,569948"
"0,066700"	"0,575177"
"0,066800"	"0,569948"
"0,066900"	"0,569948"
"0,067000"	"0,569948"
"0,067100"	"0,569948"
"0,067200"	"0,569948"
"0,067300"	"0,564719"
"0,067400"	"0,569948"
"0,067500"	"0,569948"
"0,067600"	"0,569948"
"0,067700"	"0,564719"
"0,067800"	"0,569948"
"0,067900"	"0,564719"
"0,068000"	"0,564719"
"0,068100"	"0,564719"
"0,068200"	"0,564719"
"0,068300"	"0,559490"
"0,068400"	"0,559490"
"0,068500"	"0,564719"
"0,068600"	"0,559490"
"0,068700"	"0,564719"
"0,068800"	"0,564719"
"0,068900"	"0,564719"
"0,069000"	"0,559490"
"0,069100"	"0,559490"
"0,069200"	"0,559490"
"0,069300"	"0,559490"
"0,069400"	"0,559490"
"0,069500"	"0,559490"
"0,069600"	"0,559490"
"0,069700"	"0,559490"
"0,069800"	"0,559490"
"0,069900"	"0,559490"
"0,070000"	"0,554261"
"0,070100"	"0,559490"
"0,070200"	"0,554261"
"0,070300"	"0,554261"
"0,070400"	"0,554261"
"0,070500"	"0,554261"
"0,070600"	"0,554261"
"0,070700"	"0,559490"
"0,070800"	"0,549033"
"0,070900"	"0,549033"
"0,071000"	"0,554261"
"0,071100"	"0,554261"
"0,071200"	"0,549033"
"0,071300"	"0,554261"
"0,071400"	"0,554261"
"0,071500"	"0,554261"
"0,071600"	"0,549033"
"0,071700"	"0,549033"
"0,071800"	"0,549033"
"0,071900"	"0,549033"
"0,072000"	"0,549033"
"0,072100"	"0,549033"
"0,072200"	"0,549033"
"0,072300"	"0,549033"
"0,072400"	"0,549033"
"0,072500"	"0,549033"
"0,072600"	"0,543804"
"0,072700"	"0,543804"
"0,072800"	"0,543804"
"0,072900"	"0,543804"
"0,073000"	"0,543804"
"0,073100"	"0,543804"
"0,073200"	"0,543804"
"0,073300"	"0,543804"
"0,073400"	"0,543804"
"0,073500"	"0,538575"
"0,073600"	"0,538575"
"0,073700"	"0,543804"
"0,073800"	"0,543804"
"0,073900"	"0,543804"
"0,074000"	"0,543804"
"0,074100"	"0,543804"
"0,074200"	"0,543804"
"0,074300"	"0,538575"
"0,074400"	"0,538575"
"0,074500"	"0,538575"
"0,074600"	"0,538575"
"0,074700"	"0,538575"
"0,074800"	"0,538575"
"0,074900"	"0,538575"
"0,075000"	"0,533346"
"0,075100"	"0,538575"
"0,075200"	"0,533346"
"0,075300"	"0,533346"
"0,075400"	"0,533346"
"0,075500"	"0,533346"
"0,075600"	"0,533346"
"0,075700"	"0,533346"
"0,075800"	"0,533346"
"0,075900"	"0,533346"
"0,076000"	"0,533346"
"0,076100"	"0,528117"
"0,076200"	"0,528117"
"0,076300"	"0,528117"
"0,076400"	"0,533346"
"0,076500"	"0,533346"
"0,076600"	"0,528117"
"0,076700"	"0,533346"
"0,076800"	"0,528117"
"0,076900"	"0,528117"
"0,077000"	"0,522888"
"0,077100"	"0,528117"
"0,077200"	"0,528117"
"0,077300"	"0,522888"
"0,077400"	"0,522888"
"0,077500"	"0,522888"
"0,077600"	"0,522888"
"0,077700"	"0,528117"
"0,077800"	"0,522888"
"0,077900"	"0,522888"
"0,078000"	"0,522888"
"0,078100"	"0,517659"
"0,078200"	"0,517659"
"0,078300"	"0,522888"
"0,078400"	"0,517659"
"0,078500"	"0,517659"
"0,078600"	"0,522888"
"0,078700"	"0,522888"
